anio,codigo_comuna,nombre_comuna,ingresos_totales,gastos_totales,ingresos_propios_permanentes,fondo_comun_municipal,gasto_personal,gasto_inversion
2024,01101,IQUIQUE,104723522000.0,110061007000.0,47463055000.0,7496937000.0,21389293000.0,2793773000.0
2024,01107,ALTO HOSPICIO,34424619000.0,33759592000.0,7784736000.0,19217898000.0,13222893000.0,2113844000.0
2024,01401,POZO ALMONTE,22382992000.0,22928457000.0,7971392000.0,4170737000.0,4911791000.0,3672516000.0
2024,01402,CAMIÑA,3522359000.0,3958020000.0,142731000.0,2616271000.0,1555144000.0,518756000.0
2024,01403,COLCHANE,4905624000.0,6028791000.0,687213000.0,2097885000.0,1451985000.0,2019699000.0
2024,01404,HUARA,8095652000.0,6942105000.0,2293714000.0,2908248000.0,2082681000.0,2178304000.0
2024,01405,PICA,10601346000.0,11016656000.0,5592051000.0,2798928000.0,4398836000.0,834749000.0
2024,02101,ANTOFAGASTA,176792807000.0,160288518000.0,74332575000.0,19493484000.0,19302631000.0,2970423000.0
2024,02102,MEJILLONES,13797152000.0,12756509000.0,8869794000.0,3214562000.0,4933907000.0,1188690000.0
2024,02103,SIERRA GORDA,17420151000.0,12522043000.0,13774988000.0,2539200000.0,3501492000.0,1613626000.0
2024,02104,TALTAL,10704736000.0,9742903000.0,5450341000.0,3182774000.0,2190392000.0,4096607000.0
2024,02201,CALAMA,80635507000.0,79945330000.0,28364299000.0,14115321000.0,12948309000.0,3387824000.0
2024,02202,OLLAGÜE,5043362000.0,3977355000.0,1255041000.0,2512431000.0,1616021000.0,122446000.0
2024,02203,SAN PEDRO DE ATACAMA,22748076000.0,20087172000.0,6674338000.0,7076512000.0,4245032000.0,8894441000.0
2024,02301,TOCOPILLA,15648827000.0,11009121000.0,3264150000.0,6277851000.0,3573921000.0,1112375000.0
2024,02302,MARÍA ELENA,13503309000.0,9614267000.0,6646122000.0,2355196000.0,2091735000.0,3413707000.0
2024,03101,COPIAPÓ,55376613000.0,52964390000.0,26253692000.0,17778969000.0,12915829000.0,1849711000.0
2024,03102,CALDERA,16392141000.0,16442535000.0,3543232000.0,9851460000.0,8566156000.0,877415000.0
2024,03103,TIERRA AMARILLA,13139549000.0,13809064000.0,7458135000.0,3721174000.0,5005435000.0,3167865000.0
2024,03201,CHAÑARAL,7723061000.0,7998409000.0,3063852000.0,3476853000.0,4084205000.0,1310273000.0
2024,03202,DIEGO DE ALMAGRO,11216035000.0,10334813000.0,5348541000.0,3182634000.0,4079614000.0,1937534000.0
2024,03301,VALLENAR,18551887000.0,16686541000.0,6253296000.0,9553312000.0,8408515000.0,423678000.0
2024,03302,ALTO DEL CARMEN,6277459000.0,5760508000.0,1333027000.0,2860821000.0,1824495000.0,2277011000.0
2024,03303,FREIRINA,5919261000.0,5726198000.0,1304181000.0,3047082000.0,2093846000.0,874657000.0
2024,03304,HUASCO,7446617000.0,7150607000.0,2389550000.0,3878736000.0,3006918000.0,250174000.0
2024,04101,LA SERENA,108770618000.0,112415883000.0,36318399000.0,16126511000.0,21617016000.0,1325823000.0
2024,04102,COQUIMBO,90283274000.0,88145643000.0,46773782000.0,31025669000.0,30657252000.0,5292344000.0
2024,04103,ANDACOLLO,6846408000.0,6842541000.0,1556394000.0,4369396000.0,2887864000.0,537012000.0
2024,04104,LA HIGUERA,7945927000.0,8499144000.0,2122638000.0,3148878000.0,1931288000.0,745993000.0
2024,04105,PAIGUANO,9104144000.0,9870705000.0,2089482000.0,3534837000.0,1979293000.0,1302711000.0
2024,04106,VICUÑA,13875623000.0,14264242000.0,3082384000.0,8919110000.0,5084207000.0,1936630000.0
2024,04201,ILLAPEL,11963679000.0,12590859000.0,2700481000.0,7751024000.0,5947934000.0,891310000.0
2024,04202,CANELA,5119614000.0,5702079000.0,1195637000.0,3281846000.0,1742896000.0,919273000.0
2024,04203,LOS VILOS,18380931000.0,17822875000.0,3520226000.0,11686136000.0,6271989000.0,1993147000.0
2024,04204,SALAMANCA,12549965000.0,15302304000.0,4404570000.0,5548404000.0,5361180000.0,692785000.0
2024,04301,OVALLE,40176692000.0,42599236000.0,10581423000.0,19836979000.0,11936190000.0,4700110000.0
